iter	Passed	Remaining
0	9	9085
1	16	8421
2	24	8177
3	37	9434
4	48	9629
5	53	8796
6	65	9224
7	73	9140
8	83	9157
9	89	8821
10	94	8457
11	99	8151
12	104	7916
13	108	7655
14	113	7439
15	117	7243
16	122	7078
17	126	6928
18	131	6784
19	136	6684
20	140	6564
21	145	6452
22	150	6377
23	155	6308
24	160	6264
25	165	6181
26	170	6132
27	174	6068
28	179	6001
29	183	5946
30	188	5904
31	193	5846
32	200	5863
33	206	5879
34	219	6063
35	224	6007
36	228	5956
37	238	6043
38	245	6053
39	250	6015
40	257	6022
41	263	6014
42	268	5979
43	273	5935
44	277	5896
45	282	5863
46	287	5825
47	291	5784
48	296	5754
49	301	5722
50	305	5689
51	310	5656
52	314	5622
53	319	5588
54	323	5558
55	327	5527
56	332	5503
57	337	5478
58	341	5450
59	346	5433
60	368	5672
61	378	5721
62	401	5978
63	407	5963
64	418	6015
65	433	6127
66	444	6185
67	476	6531
68	502	6783
69	530	7052
70	557	7290
71	584	7532
72	616	7827
73	630	7883
74	646	7968
75	651	7921
76	660	7914
77	669	7908
78	675	7871
79	680	7822
80	685	7775
81	691	7740
82	695	7689
83	700	7639
84	705	7597
85	710	7545
86	715	7507
87	719	7458
88	724	7416
89	729	7371
90	734	7334
91	741	7319
92	746	7278
93	750	7234
94	755	7200
95	769	7247
96	787	7329
97	803	7397
98	830	7562
99	840	7563
100	878	7818
101	910	8017
102	939	8180
103	979	8435
104	1013	8638
105	1051	8867
106	1066	8900
107	1078	8904
108	1096	8961
109	1110	8987
110	1124	9004
111	1130	8964
112	1135	8916
113	1141	8869
114	1146	8826
115	1151	8776
116	1156	8727
117	1162	8688
118	1166	8639
119	1171	8592
120	1176	8543
121	1180	8497
122	1186	8458
123	1191	8417
124	1197	8381
125	1202	8338
126	1207	8297
127	1212	8260
128	1218	8227
129	1250	8365
130	1259	8355
131	1266	8328
132	1279	8337
133	1283	8297
134	1288	8256
135	1300	8265
136	1306	8227
137	1310	8187
138	1315	8147
139	1319	8107
140	1325	8072
141	1329	8032
142	1334	7994
143	1338	7959
144	1343	7920
145	1348	7885
146	1352	7848
147	1357	7817
148	1362	7781
149	1366	7745
150	1371	7709
151	1376	7676
152	1380	7643
153	1403	7708
154	1411	7694
155	1418	7673
156	1423	7645
157	1429	7617
158	1434	7589
159	1439	7556
160	1443	7524
161	1449	7498
162	1456	7478
163	1465	7471
164	1473	7454
165	1481	7442
166	1487	7418
167	1491	7387
168	1496	7359
169	1501	7330
170	1505	7300
171	1510	7271
172	1515	7246
173	1536	7292
174	1546	7290
175	1556	7287
176	1563	7267
177	1570	7253
178	1576	7229
179	1580	7200
180	1592	7203
181	1605	7216
182	1614	7208
183	1620	7187
184	1625	7161
185	1630	7134
186	1635	7112
187	1640	7085
188	1645	7060
189	1651	7038
190	1658	7026
191	1664	7004
192	1674	7001
193	1680	6982
194	1685	6956
195	1690	6932
196	1694	6908
197	1699	6885
198	1705	6863
199	1710	6842
200	1716	6823
201	1721	6800
202	1726	6776
203	1731	6754
204	1735	6731
205	1740	6708
206	1745	6685
207	1749	6661
208	1769	6697
209	1778	6690
210	1785	6678
211	1794	6671
212	1800	6651
213	1804	6629
214	1809	6606
215	1814	6585
216	1818	6563
217	1823	6541
218	1829	6523
219	1833	6501
220	1838	6480
221	1845	6466
222	1849	6444
223	1854	6423
224	1878	6469
225	1891	6476
226	1901	6475
227	1906	6456
228	1914	6445
229	1920	6429
230	1929	6423
231	1937	6415
232	1942	6395
233	1947	6376
234	1952	6356
235	1958	6339
236	1962	6319
237	1967	6298
238	1972	6279
239	1977	6261
240	1982	6242
241	1986	6223
242	1992	6207
243	1998	6192
244	2002	6172
245	2008	6156
246	2014	6140
247	2022	6132
248	2027	6113
249	2031	6094
250	2036	6075
251	2041	6059
252	2047	6045
253	2051	6026
254	2058	6013
255	2067	6009
256	2078	6010
257	2084	5994
258	2090	5980
259	2095	5964
260	2100	5946
261	2112	5950
262	2118	5935
263	2123	5919
264	2128	5904
265	2134	5888
266	2139	5874
267	2145	5859
268	2150	5844
269	2155	5826
270	2159	5809
271	2164	5792
272	2169	5777
273	2174	5761
274	2178	5744
275	2183	5727
276	2202	5749
277	2213	5747
278	2221	5739
279	2227	5727
280	2233	5715
281	2238	5700
282	2244	5685
283	2248	5668
284	2255	5658
285	2263	5651
286	2274	5650
287	2279	5635
288	2284	5620
289	2290	5607
290	2296	5594
291	2301	5579
292	2305	5562
293	2324	5582
294	2337	5585
295	2344	5576
296	2351	5565
297	2357	5554
298	2364	5542
299	2368	5527
300	2373	5511
301	2377	5495
302	2382	5480
303	2386	5464
304	2391	5449
305	2396	5434
306	2400	5419
307	2405	5403
308	2409	5387
309	2414	5374
310	2420	5361
311	2425	5347
312	2430	5333
313	2434	5318
314	2441	5308
315	2446	5295
316	2452	5285
317	2463	5283
318	2472	5277
319	2477	5264
320	2482	5250
321	2486	5235
322	2491	5221
323	2495	5206
324	2500	5192
325	2504	5178
326	2509	5163
327	2513	5149
328	2517	5134
329	2521	5120
330	2526	5106
331	2531	5092
332	2535	5078
333	2541	5067
334	2546	5055
335	2551	5041
336	2556	5029
337	2561	5017
338	2566	5003
339	2570	4989
340	2574	4976
341	2579	4962
342	2584	4949
343	2589	4937
344	2593	4924
345	2613	4939
346	2626	4943
347	2638	4942
348	2645	4934
349	2652	4925
350	2658	4915
351	2662	4902
352	2667	4888
353	2677	4885
354	2684	4876
355	2691	4868
356	2696	4855
357	2700	4842
358	2705	4830
359	2709	4817
360	2713	4803
361	2718	4791
362	2722	4778
363	2726	4764
364	2731	4751
365	2749	4763
366	2759	4760
367	2767	4753
368	2773	4742
369	2778	4731
370	2785	4722
371	2790	4711
372	2795	4698
373	2799	4685
374	2804	4673
375	2809	4662
376	2813	4649
377	2818	4637
378	2822	4625
379	2827	4614
380	2832	4601
381	2838	4592
382	2845	4584
383	2855	4579
384	2862	4571
385	2867	4560
386	2871	4548
387	2875	4536
388	2880	4524
389	2884	4512
390	2891	4504
391	2903	4502
392	2911	4496
393	2915	4484
394	2920	4473
395	2930	4469
396	2938	4462
397	2942	4450
398	2953	4448
399	2957	4436
400	2963	4427
401	2973	4422
402	2978	4412
403	2983	4401
404	2988	4390
405	2992	4378
406	2998	4368
407	3003	4357
408	3007	4345
409	3012	4335
410	3016	4323
411	3022	4313
412	3026	4301
413	3031	4291
414	3036	4280
415	3055	4289
416	3069	4291
417	3080	4288
418	3088	4282
419	3094	4272
420	3099	4262
421	3103	4251
422	3108	4240
